Order Date,Product ID,Order Quantity
02-05-2022,3084ZX,1
11-12-2021,2621XX,20
01-10-2022,1193YX,147
02-11-2022,1971XX,10
11-09-2021,3177ZX,56.25
15-12-2021,1385ZX,13
09-12-2021,1479ZX,4
03-06-2022,1206YX,21
17-10-2021,1486ZX,2
25-10-2021,1479ZX,10
27-01-2022,3399XX,2
11-02-2022,1970ZX,15
20-05-2022,1497ZX,160
27-01-2022,3512XX,100
28-05-2022,2970ZX,1
17-11-2021,2277XX,300
25-09-2021,3462XX,50
05-08-2022,1193YX,90
13-10-2021,1385ZX,7
03-05-2022,2212XX,2
08-02-2022,2621XX,4
18-06-2022,1695ZX,1
20-01-2022,2078ZX,2
27-02-2022,1995XX,190
26-05-2022,2847YX,582
13-08-2021,2337ZX,252
17-05-2022,2488ZX,18
01-10-2022,3079YX,6
18-02-2022,2317ZX,2310
25-11-2021,1499XX,1000
07-10-2021,2458ZX,24800
06-10-2021,1907XX,1
05-06-2022,1382ZX,10
24-04-2022,3461ZX,3
30-10-2021,2096YX,35
19-11-2021,2291XX,124
11-02-2022,2953YX,60
28-09-2021,3512XX,500
07-04-2022,2044ZX,4
20-03-2022,3448ZX,20
13-09-2022,2814YX,250
05-11-2021,1624ZX,3
15-07-2022,2953YX,90
17-06-2022,1993XX,310
27-04-2022,3161YX,100
09-08-2021,2923ZX,146
25-08-2022,2953YX,50
19-11-2021,2867XX,10
14-08-2021,3413XX,10
01-10-2021,1479ZX,2
31-08-2021,1130XX,250
23-06-2022,2331ZX,662
04-11-2022,2315YX,30
02-11-2022,2291XX,3360
25-07-2021,2189ZX,5
08-07-2022,2212XX,4
20-10-2021,3576YX,10
01-12-2021,1382ZX,4
26-03-2022,1479ZX,2
17-09-2021,1499ZX,1
29-12-2021,2200ZX,4
25-08-2021,2277XX,744
15-06-2022,2956XX,9
04-01-2022,1193YX,31
26-01-2022,2515YX,401
22-10-2022,2039ZX,10
28-10-2022,2331ZX,82
18-01-2022,2501ZX,12
10-08-2022,2317ZX,180
19-05-2022,2066XX,1
25-11-2022,1486ZX,5
12-10-2021,1163ZX,505
