Product_ID,In_Stock_Quantity,Avg_Lead_Time_in_Days,Max_Lead_Time_in_Days,Price_Per_Unit,annual_sales_quantity,annual_Revenue,Revenue_Percent,cumulative_sum,ABC_Analysis,value_in_Inventory,ABC_rank,average_weekly_demand,SD_Weekly_Demand,Coff_Var,Coff_rank,XYZ_Analysis,peak_weekly_demand,Safety_Stock,Reorder_Point,Reorder_Time,Inventory_Status
1009XX,7210.00000,30,48.00000,28.76326,65497.00000,1883907.2402200000,0.45238389776354,79.99458122465077,"B[Medium Value]",207383.1046000000,51,1242.754716981,1693.7162100581072,1.362872485547767,135,"Y [Variable Demand]",9780.00000,61736.76549725571430,423337.82054379107441467775510,"Yes [Reorder]","Below Reorder point"
1077ZX,46516.00000,45,70.00000,22.97770,382834.00000,8796644.8018000000,2.11234416308892,43.49544818223732,"A [High Value]",1068830.6932000000,13,7300.509433962,8172.464582012616,1.1194375756840031,105,"Y [Variable Demand]",47369.00000,426758.15363881571430,4267581.53638815714300000000000,"Yes [Reorder]","Below Reorder point"
1083XX,48210.00000,45,68.00000,29.02000,285252.00000,8278013.0400000000,1.98780477341087,45.48325295564819,"A [High Value]",1399054.2000000000,14,5399.547169811,6274.524943503127,1.1620465098599657,113,"Y [Variable Demand]",30791.00000,264401.19675670328570,2568468.76841814586201237048980,"Yes [Reorder]","Below Reorder point"
1116ZX,33398.00000,90,140.00000,32.80000,284106.00000,9318676.8000000000,2.23770005379372,41.38310401914840,"A [High Value]",1095454.4000000000,12,5360.490566037,8421.580245703099,1.571046556645497,153,"Z [Uncertain Demand]",39733.00000,725739.40700809571430,14514788.14016191428600000000000,"Yes [Reorder]","Below Reorder point"
1126ZX,39270.00000,45,62.00000,32.80000,343837.00000,11277853.6000000000,2.70815848097637,29.49399198995508,"A [High Value]",1288056.0000000000,7,6487.490566037,8464.907269433003,1.3048045593697015,128,"Y [Variable Demand]",34572.00000,264503.84635625185710,2342748.35340330161340624973470,"Yes [Reorder]","Below Reorder point"
1130XX,13622.00000,90,139.00000,17.26609,46555.00000,803822.8199500000,0.19302250802847,89.39943937642222,"B[Medium Value]",235198.6779800000,82,902.792452830,812.2213741941031,0.8996767436945423,81,"Y [Variable Demand]",2868.00000,45342.95417749028570,900381.51866082953687464424490,"Yes [Reorder]","Below Reorder point"
1145YX,1816.00000,45,60.00000,85.30066,12641.00000,1078285.6430600000,0.25892944816804,86.78903048684774,"B[Medium Value]",154905.9985600000,70,241.773584905,526.2984891481271,2.176823780624858,197,"Z [Uncertain Demand]",3243.00000,26242.88409564942860,224939.00652289100910186453060,"Yes [Reorder]","Below Reorder point"
1161XX,197.00000,90,142.00000,136.59250,11901.00000,1625587.3425000000,0.39035336902753,83.34633007517665,"B[Medium Value]",26908.7225000000,59,228.150943396,331.5220699689064,1.4530821789918522,139,"Y [Variable Demand]",1682.00000,31187.20215513571430,632654.67226761934568918877550,"Yes [Reorder]","Below Reorder point"
1163ZX,2161.00000,90,136.00000,94.66425,13727.00000,1299456.1597500000,0.31203927134539,85.40659018362078,"B[Medium Value]",204569.4442500000,65,261.452830188,296.5132321357896,1.1340983837221388,108,"Y [Variable Demand]",1521.00000,26189.32075385657140,508821.08891710520391208195920,"Yes [Reorder]","Below Reorder point"
1193YX,2957.00000,90,138.00000,815.00000,14940.00000,12176100.0000000000,2.92385498604241,26.78583350897871,"A [High Value]",2409955.0000000000,6,281.886792452,539.5543115466501,1.914081560378626,180,"Z [Uncertain Demand]",3475.00000,64882.88409605285710,1279119.71501793264451541346940,"Yes [Reorder]","Below Reorder point"
1196XX,1253.00000,90,128.00000,30.00000,787.18422,23615.5266000000,0.00567081209890,99.94740052188021,"C[Low Value]",37590.0000000000,269,14.852532452,12.77379471574873,0.8600415287447257,73,"Y [Variable Demand]",48.49673,695.83621701107375,12723.86225341975127356351875,"Yes [Reorder]","Below Reorder point"
1206YX,786.00000,45,69.00000,236.62475,12110.67458,2865685.3448238550,0.68813892657681,74.01325059479172,"B[Medium Value]",185987.0535000000,40,228.503293962,205.45781472368472,0.8991459648623371,80,"Y [Variable Demand]",1086.25948,9238.46512723196296,91064.87053853813987325257672,"Yes [Reorder]","Below Reorder point"
1214ZX,2472.00000,30,43.00000,317.65903,2790.00000,886268.6937000000,0.21282029049105,88.39398363085531,"B[Medium Value]",785253.1221600000,77,54.169811320,108.43826795263826,2.0018210385126785,187,"Z [Uncertain Demand]",546.00000,3121.84366530342860,19177.03965561662397259706120,"Yes [Reorder]","Below Reorder point"
1224XX,194.00000,90,121.00000,698.00000,6084.00000,4246632.0000000000,1.01974656475286,61.83377481885684,"A [High Value]",135412.0000000000,25,121.867924528,189.757246883351,1.5570729346404266,150,"Z [Uncertain Demand]",868.00000,13437.12668402000000,232270.33267131919522570000000,"Yes [Reorder]","Below Reorder point"
1234YX,532.00000,45,63.00000,498.00000,6136.00000,3055728.0000000000,0.73377399567919,70.48443237375784,"B[Medium Value]",264936.0000000000,35,116.245283018,207.10109696605318,1.781587102626647,170,"Z [Uncertain Demand]",1014.00000,8378.70889488428570,75408.38005395857130000000000,"Yes [Reorder]","Below Reorder point"
1244XX,2834.00000,45,67.00000,60.00000,513300.12589,30798007.5534000000,7.39554602419333,7.39554602419333,"A [High Value]",170040.0000000000,1,9684.908035660,9043.446309634708,0.9337668748465737,86,"Y [Variable Demand]",38142.32492,302816.41541726757502,2898385.69029263975429831389642,"Yes [Reorder]","Below Reorder point"
1255ZX,10.00000,60,83.00000,84500.00000,34.00000,2873000.0000000000,0.68989539958606,73.32511166821491,"B[Medium Value]",845000.0000000000,39,0.641509433,1.1670692146560087,1.8192549549867785,173,"Z [Uncertain Demand]",5.00000,53.78706200214290,637.76087801772480542826530,"Yes [Reorder]","Below Reorder point"
1265ZX,6.00000,60,79.00000,103500.00000,19.00000,1966500.0000000000,0.47221695206613,79.54219732688723,"B[Medium Value]",621000.0000000000,50,0.358490566,0.8488469342793954,2.367836185344401,208,"Z [Uncertain Demand]",5.00000,53.35579514500000,602.15825945546014632500000,"Yes [Reorder]","Below Reorder point"
1266ZX,5.00000,60,86.00000,118900.00000,13.00000,1545700.0000000000,0.37116996837458,83.71750004355123,"B[Medium Value]",594500.0000000000,60,0.245283018,0.6113906319252698,2.4925925851306583,212,"Z [Uncertain Demand]",3.00000,34.75471698642860,426.98652295129800215255100,"Yes [Reorder]","Below Reorder point"
1281YX,3.00000,60,85.00000,139500.00000,132.38963,18468353.3850000000,4.43481797363076,17.19561916702007,"A [High Value]",418500.0000000000,3,2.497917547,1.9255496481499017,0.7708619727910905,30,"X [Uniform Demand]",7.88319,74.31372816181438,902.38098475833427586130196,"Yes [Reorder]","Below Reorder point"
1283ZX,0.00000,60,92.00000,98333.33000,111.10379,10925205.6463207000,2.62347689346617,32.11746888342125,"A [High Value]",0.0000000000,8,2.115165849,1.6162816544813465,0.7641394433658647,28,"X [Uniform Demand]",5.82820,58.46920700357580,768.45243485402262256836360,"Yes [Reorder]","Out Of Stock"
1295ZX,5.00000,120,158.00000,175000.00000,127.67466,22343065.5000000000,5.36525516919598,12.76080119338931,"A [High Value]",875000.0000000000,2,2.408955849,2.0050426656924087,0.8323285237978676,64,"Y [Variable Demand]",6.95114,115.60077401416384,2609.27461341301205685107264,"Yes [Reorder]","Below Reorder point"
1296ZX,4.00000,60,93.00000,30.00000,902.51374,27075.4122000000,0.00650163672770,99.75032542670551,"C[Low Value]",120.0000000000,237,17.028561132,13.616004742913537,0.7995980774515586,47,"X [Uniform Demand]",50.45708,524.39925311824490,6967.01864819639706205839650,"Yes [Reorder]","Below Reorder point"
